key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract
5520,"A Meta-Analysis of Food Labeling Effects on Consumer Diet Behaviors and Industry Practices","Shangguan, Siyi and Afshin, Ashkan and Shulkin, Masha and Ma, Wenjie and Marsden, Daniel and Smith, Jessica and Saheb-Kashaf, Michael and Shi, Peilin and Micha, Renata and Imamura, Fumiaki and Mozaffarian, Dariush and Food PRICE Policy Review Intervent","AMERICAN JOURNAL OF PREVENTIVE MEDICINE","0749-3797","56","","300-314","2019","","10.1016/j.amepre.2018.09.024","Context: The influence of food and beverage labeling (food labeling) on consumer behaviors, industry responses, and health outcomes is not well established. Evidence acquisition: PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines were followed. Ten databases were searched in 2014 for studies published after 1990 evaluating food labeling and consumer purchases/orders, intakes, metabolic risk factors, and industry responses. Data extractions were performed independently and in duplicate. Studies were pooled using inverse-variance random effects meta-analysis. Heterogeneity was explored with I-2, stratified analyses, and meta-regression; and publication bias was assessed with funnel plots, Begg's tests, and Egger's tests. Analyses were completed in 2017. Evidence synthesis: From 6,232 articles, a total of 60 studies were identified, including 2 million observations across 111 intervention arms in 11 countries. Food labeling decreased consumer intakes of energy by 6.6\% (95\% CI= -8.8\%, -4.4\%, n=31), total fat by 10.6\% (95\% CI= -17.7\%, -3.5\%, n=13), and other unhealthy dietary options by 13.0\% (95\% CI= -25.7\%, -0.2\%, n=16), while increasing vegetable consumption by 13.5\% (95\% CI=2.4\%, 24.6\%, n=5). Evaluating industry responses, labeling decreased product contents of sodium by 8.9\% (95\% CI= -17.3\%, -0.6\%, n=4) and artificial trans fat by 64.3\% (95\% CI= -91.1\%, -37.5\%, n=3). No significant heterogeneity was identified by label placement or type, duration, labeled product, region, population, voluntary or legislative approaches, combined intervention components, study design, or quality. Evidence for publication bias was not identified. Conclusions: From reviewing 60 intervention studies, food labeling reduces consumer dietary intake of selected nutrients and influences industry practices to reduce product contents of sodium and artificial trans fat. (C) 2018 American Journal of Preventive Medicine. Published by Elsevier Inc. All rights reserved."
5521,"ASICs Mediate Food Responses in an Enteric Serotonergic Neuron that Controls Foraging Behaviors","Rhoades, J.L. and Nelson, J.C. and Nwabudike, I. and Yu, S.K. and McLachlan, I.G. and Madan, G.K. and Abebe, E. and Powers, J.R. and Coln-Ramos, D.A. and Flavell, S.W.","Cell","00928674","176","","85-97.e14","2019","","10.1016/j.cell.2018.11.023","Animals must respond to the ingestion of food by generating adaptive behaviors, but the role of gut-brain signaling in behavioral regulation is poorly understood. Here, we identify conserved ion channels in an enteric serotonergic neuron that mediate its responses to food ingestion and decipher how these responses drive changes in foraging behavior. We show that the C. elegans serotonergic neuron NSM acts as an enteric sensory neuron that acutely detects food ingestion. We identify the novel and conserved acid-sensing ion channels (ASICs) DEL-7 and DEL-3 as NSM-enriched channels required for feeding-dependent NSM activity, which in turn drives slow locomotion while animals feed. Point mutations that alter the DEL-7 channel change NSM dynamics and associated behavioral dynamics of the organism. This study provides causal links between food ingestion, molecular and physiological properties of an enteric serotonergic neuron, and adaptive feeding behaviors, yielding a new view of how enteric neurons control behavior.  2018 Elsevier Inc. A sensory mechanism for food sensing and feeding-associated behaviors is mediated by two ASIC ion channels.  2018 Elsevier Inc."
5522,"Sexual selection on female collared lizards favours offspring production with multiple males","York, J.R. and Baird, T.A.","Animal Behaviour","00033472","147","","17-23","2019","","10.1016/j.anbehav.2018.10.020","Females in diverse vertebrate and invertebrate clades often mate and produce offspring with multiple male partners. Deciphering the evolutionary mechanisms underlying the origins of females producing offspring with multiple sires remains a challenging problem, because a single male can usually provide enough sperm to fertilize all eggs produced by individual females. We tested the hypothesis that having multiple males sire individual clutches is adaptive for female eastern collared lizards, Crotaphytus collaris, by examining both the fitness costs and benefits for females of producing offspring with one versus multiple male partners. We found no support for the hypothesis that females produce offspring with multiple sires to acquire access to higher-quality food resources or refuges. However, hatching success of clutches increased with the number of males that inseminated eggs, which suggests that accepting sperm from multiple males may improve offspring hatching success through one or more mechanisms. Our results also indicate that females producing offspring with multiple male partners gained genetic advantages. Although offspring mortality from clutches sired by one versus multiple males was similar, females producing clutches sired by multiple males had more total offspring that survived to maturity, resulting in a net fitness advantage for these females. Our results suggest that producing offspring with multiple males is adaptive for female collared lizards because it promotes acquisition of several fitness benefits.  2018 The Association for the Study of Animal Behaviour"
5523,"An updated perspective on spiders as generalist predators in biological control","Michalko, R. and Pekr, S. and Entling, M.H.","Oecologia","00298549","189","","21-36","2019","","10.1007/s00442-018-4313-1","The role of generalist predators in biological control remains controversial as they may not only reduce pest populations but also disrupt biocontrol exerted by other natural enemies. Here, we focus on spiders as a model group of generalist predators. They are among the most abundant and most diverse natural enemies in agroecosystems. We review their functional traits that influence food-web dynamics and pest suppression at organisational levels ranging from individuals to communities. At the individual and population levels, we focus on hunting strategy, body size, life stage, nutritional target, and personality (i.e., consistent inter-individual differences in behaviour). These functional traits determine the spider trophic niches. We also focus on the functional and numerical response to pest densities and on non-consumptive effects of spiders on pests. At the community level, we review multiple-predator effects and effect of alternative prey on pest suppression. Evidence for a key role of spiders in pest suppression is accumulating. Importantly, recent research has highlighted widespread non-consumptive effects and complex intraguild interactions of spiders. A better understanding of these effects is needed to optimize biocontrol services by spiders in agroecosystems.  2018, Springer-Verlag GmbH Germany, part of Springer Nature."
5524,"The emigration of adult children and smoking behaviors of parents","Luo, T. and Escalante, C.","China Agricultural Economic Review","1756137X",NA,"",NA,"2019","","10.1108/CAER-07-2018-0157","Purpose: The purpose of this paper is to examine the impact of adult childrens migration on the smoking behavior of rural parents who are left behind and raise the concern that the rural residents increasing tendency to migrate to urban areas in China nowadays could encourage such a behavior. Design/methodology/approach: Using data from the China Health and Nutrition Survey and applying propensity score matching method and individual-level fixed effects model, this paper addresses the potential endogeneity issues that may arise between the childrens migration decisions and parental smoking behavior. Findings: This studys results indicate that rural parents left behind by their emigrant children indeed are more likely to sustain their smoking habit. The validated smoking effect of emigration calls for effective government programs that entail intervention to curb such potentially aggravating health risk, especially among middle-aged and older fathers. Originality/value: This paper is the first to examine the impact of childrens migration on the smoking behavior of left-behind parents in rural households in China. Our findings call for immediate attention to the smoking behavior of older age cohort in China as the scale of ruralurban migration trend is expected to increase. Moreover, given that many countries in Asia, such as India, Vietnam and Indonesia, are confronting similar issues, our findings could provide useful implications for smoking cessation and control policies in those countries.  2019, Emerald Publishing Limited."
5525,"Weight Regain, but not Weight Loss, Is Related to Competitive Success in Real-Life Mixed Martial Arts Competition","Coswig, Victor Silveira and Miarka, Bianca and Pires, Daniel Alvarez and da Silva, Levy Mendes and Bartel, Charles and Del Vecchio, Fabricio Boscolo","INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM","1526-484X","29","","1-8","2019","","10.1123/ijsnem.2018-0034","We aimed to describe the nutritional and behavioral strategies for rapid weight loss (RWL), investigate the effects of RWL and weight regain in winners and losers, and verify mood state and technical-tactical/time-motion parameters in mixed martial arts. The sample consisted of mixed martial arts athletes after a single real match and was separated into two groups: winners (n = 8; age: 25.4 +/- 6.1 years, height: 173.9 +/- 0.2 cm, habitual body mass: 89.9 +/- 17.3 kg) and losers (n = 7; age: 24.4 +/- 6.8 years, height: 178.4 +/- 0.9 cm, habitual body mass: 90.8 +/- 19.5 kg). Both groups exhibited RWL and weight regain, verified their macronutrient intake, underwent weight and height assessments, and completed two questionnaires (Profile of Mood States and RWL) at (a) 24 hr before weigh-in, (b) weigh-in, (c) postbout, and (d) during a validated time-motion and technical-tactical analysis during the bout. Variance analysis, repeated measures, and a logistic regression analysis were used. The main results showed significant differences between the time points in terms of total caloric intake as well as carbohydrate, protein, and lipid ingestion. Statistical differences in combat analysis were observed between the winners and losers in terms of high-intensity relative time (58 [}10-98] s and 32 {[}1-60] s, respectively), lower limb sequences (3.5 [}1.0-7.5] sequences and 1.0 {[}0.0-1.0] sequences, respectively), and ground and pound actions (2.5 {[}0.0-4.5] actions and 0.0 {[}0.0-0.5] actions, respectively), and logistic regression confirmed the importance of high-intensity relative time and lower limb sequences on mixed martial arts performance. RWL and weight regain strategies were related to technical-tactical and time-motion patterns as well as match outcomes. Weight management should be carefully supervised by specialized professionals to reduce health risks and raise competitive performance."
5526,"A neurodevelopmental perspective on male violence","Raine, A.","Infant Mental Health Journal","01639641","40","","84-97","2019","","10.1002/imhj.21761","Research is increasingly documenting a neurobiological basis to violence. This review takes a neurodevelopmental perspective on the very small group of males who grow up to become persistent violent offenders. After outlining six criteria for what constitutes a neurodevelopmental disorder, the extent to which chronic violence meets these definitional criteria is examined, covering the fields of genetics, structural and functional brain imaging, and neuropsychology. Early health risk factors for violence are then outlined, including birth complications, minor physical anomalies, prenatal smoking and alcohol exposure, poor nutrition, lead exposure, and traumatic brain injury. Persistent adult violence is argued to originate in aberrant temperamental behavior in early childhood, to have a stable developmental trajectory, and to be associated with impaired education, social, and occupational functioning. Taken together, it is argued that chronic adult violence meets criterion for being conceptualized as having neurodevelopmental origins and that an important, but not sole, source of neural maldevelopment lies in prenatal and early postnatal risk factors. This review concludes with a recognition of the sociopolitical context within which a neurodevelopmental perspective on chronic violence sits, together with directions for future research, including whether a neurodevelopmental hypothesis is best applied to reactive as opposed to proactive aggression.  2018 Michigan Association for Infant Mental Health"
5527,"Situating adult attention-deficit/hyperactivity disorder in the externalizing spectrum: Etiological, diagnostic, and treatment considerations","Mahadevan, J. and Kandasamy, A. and Benegal, V.","Indian Journal of Psychiatry","00195545","61","","3-12","2019","","10.4103/psychiatry.IndianJPsychiatry_549_18","Adult attention-deficit/hyperactivity disorder (ADHD) has a population prevalence of 5%. However, its prevalence is much higher in mental health and substance use treatment settings. It is associated with significant physical and psychiatric morbidity, as well as social, occupational, and legal consequences. Adult ADHD is considered to be a part of the externalizing spectrum with which it shares both homotypic comorbidity and heterotypic continuity across the lifespan. This is attributable to a shared genetic basis, which interacts with environmental risk factors such as nutritional deficiencies and psychosocial adversity to bring about epigenetic changes. This is seen to result in a lag in brain maturation particularly in the areas of the brain related to executive functioning (top-down regulation) such as the prefrontal and cingulate cortices. This delay when coupled with impairments in reward processing, leads to a preference for immediate small rewards and is common to externalizing disorders. Adult ADHD is increasingly understood to not merely be associated with the classically described symptoms of hyperactivity, impulsivity and inattention, but also issues with motivation, emotional recognition and regulation, excessive mind wandering, and behavioral self-regulation. These symptoms are also observed in other disorders which overlap with the externalizing spectrum such as oppositional defiant disorder, conduct disorder, antisocial and borderline personality disorder. It is therefore important to develop both broad-based and specific interventions to be able to target these deficits which can reduce the burden and improve outcomes.  2019 Indian Journal of Psychiatry."
5528,"Torpor reduces predation risk by compensating for the energetic cost of antipredator foraging behaviours","Turbill, C. and Stojanovski, L.","Proceedings of the Royal Society B: Biological Sciences","09628452","285","",NA,"2018","","10.1098/rspb.2018.2370","Foraging activity is needed for energy intake but increases the risk of predation, and antipredator behavioural responses, such as reduced activity, generally reduce energy intake. Hence, the mortality and indirect effects of predation risk are dependent on the energy requirements of prey. Torpor, a controlled reduction in resting metabolism and body temperature, is a common energy-saving mechanism of small mammals that enhances their resistance to starvation. Here we test the hypothesis that torpor could also reduce predation risk by compensating for the energetic cost of antipredator behaviours. We measured the foraging behaviour and body temperature of house mice in response to manipulation of perceived predation risk by adjusting levels of ground cover and starvation risk by 24 h food withdrawal every third day. We found that a voluntary reduction in daily food intake in response to lower cover (high predation risk) was matched by the extent of a daily reduction in body temperature. Our study provides the first experimental evidence of a close link between energy-saving torpor responses to starvation risk and behavioural responses to perceived predation risk. By reducing the risk of starvation, torpor can facilitate stronger antipredator behaviours. These results highlight the interplay between the capacity for reducing metabolic energy expenditure, optimal decisions about foraging behaviour and the life-history ecology of prey.  2018 The Author(s) Published by the Royal Society. All rights reserved."
5529,"Body condition, rather than size, predicts risk-taking and resource holding potential in hatchery reared juvenile lake sturgeon Acipenser fulvescens","Bjornson, F. and Anderson, G.W.","Journal of Fish Biology","00221112","93","","1188-1196","2018","","10.1111/jfb.13840","To test how body size might influence lake sturgeon Acipenser fulvescens anti-predator behaviour, asymmetrically body-size-matched individuals were exposed to conspecific chemical alarm cues with the presence or absence of food. Additionally, to test resource holding potential (RHP), hatchery-reared juvenile A. fulvescens were asymmetrically (c. 60% mass difference) and symmetrically (c. 3% mass difference) size matched in individual tanks. Results suggest that A. fulvescens of higher body condition, rather than body length or mass, may take greater risks when presented with foraging opportunities and realize a higher RHP. As hatcheries are likely to select individuals of higher body condition, more research is necessary to understand the role body condition may have on behavioural responses and ensuing fitness post-release.  2018 The Fisheries Society of the British Isles"
