StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage+,ManipType,ManipDirection,ManipDuration,ManipOffset,ManipPostDiet,ManipConditionEffect,ManipGroups,ManipNotes,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,SharedGroup,SharedN,Sharedmean,Sharedsd,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction notes
CD006,EG003,EX004,ES0011,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,0,continuous,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),juvenile,24,novel environment,prompts required to reach endpoint,novelenvironment_exploration,count,no,"individual place in a swimming arena, time taken to reach to endpoint, and number of prompts required to reach the endpooint",47,6.989473684,3.463909693,0.505263158,,39,4.210526316,1.840630989,0.294736842,,,,,,S0011,NA,NA,NA,negative,no,Figure 5a,figure,,,individuals reaching the endpoint faster and requiring less prompts are considered more exploratory here
CD006,EG003,EX004,ES0012,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,10,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),juvenile,34,novel environment,prompts required to reach endpoint,novelenvironment_exploration,count,no,"individual place in a swimming arena, time taken to reach to endpoint, and number of prompts required to reach the endpooint",40,2.526315789,1.331485331,0.210526316,,33,2.273684211,1.451257932,0.252631579,,,,,,S0012,NA,NA,NA,negative,no,Figure 5b,figure,,,individuals reaching the endpoint faster and requiring less prompts are considered more exploratory here
CD006,EG003,EX005,ES0013,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,73,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),adult,97,novel environment,activity,novelenvironment_activity,count,no,"individual place on a 1m piece of paper, distance of hops and number of hops recorded",19,7.157895,1.253974,,,6,6.833333,2.218608,,,,,,,S0013,NA,NA,NA,positive,no,CD006_hopping.txt,author correspondence,,,
CD006,EG003,EX005,ES0014,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,107,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),adult,131,novel environment,activity,novelenvironment_activity,count,no,"individual place on a 1m piece of paper, distance of hops and number of hops recorded",18,9.648148,1.855824,,,6,8,3.818086,,,,,,,S0014,NA,NA,NA,positive,no,CD006_hopping.txt,author correspondence,,,
CD006,EG003,EX005,ES0015,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,114,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),adult,138,novel environment,activity,novelenvironment_activity,count,no,"individual place on a 1m piece of paper, distance of hops and number of hops recorded",18,10.66667,1.976992,,,6,10.77778,2.197642,,,,,,,S0015,NA,NA,NA,positive,no,CD006_hopping.txt,author correspondence,,,
CD006,EG003,EX005,ES0016,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,73,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),adult,97,novel environment,distance of hops,novelenvironment_activity,mm,no,"individual place on a 1m piece of paper, distance of hops and number of hops recorded",19,130,31.38407239,7.2,,6,101,30.86357076,12.6,,,,,,S0016,NA,NA,NA,positive,no,"Text, pp96",text,,,
CD006,EG003,EX005,ES0017,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,107,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),adult,131,novel environment,distance of hops,novelenvironment_activity,mm,no,"individual place on a 1m piece of paper, distance of hops and number of hops recorded",18,94.43148,39.41161,,,6,89.94444,44.35534,,,,,,,S0017,NA,NA,NA,positive,no,CD006_hopping.txt,author correspondence,,,
CD006,EG003,EX005,ES0018,Hector,2012,Journal of Zoology,brown tree frog,Litoria ewingii,amphibian,wild,lab,unknown,juvenile,"from post hatching day 10,",quantity,restrict,14,114,control,yes (body length; tail length; muscle height; max tail height),no,high (approx ad libitum) v low (half ration),adult,138,novel environment,distance of hops,novelenvironment_activity,mm,no,"individual place on a 1m piece of paper, distance of hops and number of hops recorded",18,89.75926,27.6476,,,6,83.61111,36.46759,,,,,,,S0018,NA,NA,NA,positive,no,CD006_hopping.txt,author correspondence,,,
CD010,EG004,EX006A,ES0019,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,4.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,activity,novelenvironment_activity,m,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",50,2.9,0.707106781,0.1,,50,2.528571429,0.808122036,0.114285714,,,,,,S0019,NA,NA,NA,positive,no,Figure 1,figure,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004,EX006A,ES0020,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,45.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,activity,novelenvironment_activity,m,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",50,2.614285714,0.707106781,0.1,,50,2.371428571,0.707106781,0.1,,,,,,S0020,NA,NA,NA,positive,no,Figure 1,figure,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004,EX006A,ES0021,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,4.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,edge preference,novelenvironment_refugeuse,ratio,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",50,0.82173913,0.098380074,0.013913043,,50,0.831304348,0.098380074,0.013913043,,,,,,S0021,NA,NA,NA,negative,no,Figure 2,figure,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004,EX006A,ES0022,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,45.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,edge preference,novelenvironment_refugeuse,ratio,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",50,0.80173913,0.086082565,0.012173913,,50,0.760869565,0.184462639,0.026086957,,,,,,S0022,NA,NA,NA,negative,no,Figure 2,figure,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004,EX006B,ES0023,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,5.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",refuge emergence,latency to emerge,novelenvironment_refugeemergence,sec,yes,"individual placed in box, acclimated for 30 seconds, then timed to emerge from opening",50,53.34728033,103.5512023,14.64435146,,50,69.0376569,147.930289,20.92050209,,,,,,S0023,NA,NA,NA,negative,no,Figure 3,figure,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004,EX006B,ES0024,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,46.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",refuge emergence,latency to emerge,novelenvironment_refugeemergence,sec,yes,"individual placed in box, acclimated for 30 seconds, then timed to emerge from opening",50,81.58995816,110.9477167,15.69037657,,50,157.9497908,221.8954334,31.38075314,,,,,,S0024,NA,NA,NA,negative,no,Figure 3,figure,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004,EX006C,ES0025,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,mixed,adult,upon pupation,quality,restrict,5.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",light dark test,time spend in dark,novelenvironment_lightdarktest,sec,yes,"individuals placed in a box, half covered half exposed, time spend in dark side recorded",50,,,,,50,,,,,F,1.59,94,0.21,S0025,NA,NA,NA,negative,no,Table 2,table,exclude_all,finer scale data extracted,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006D,ES0026,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,4.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,activity,novelenvironment_activity,m,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",20,2.6588247,0.5404937,,,17,2.4249114,0.5906291,,,,,,,S0026,NA,NA,NA,positive,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006D,ES0027,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,45.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,activity,novelenvironment_activity,m,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",20,2.7304755,0.6116828,,,17,2.3920498,0.6088917,,,,,,,S0027,NA,NA,NA,positive,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006D,ES0028,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,4.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,edge preference,novelenvironment_refugeuse,ratio,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",20,0.822,0.06906,,,17,0.80449,0.08363,,,,,,,S0028,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006D,ES0029,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,45.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,edge preference,novelenvironment_refugeuse,ratio,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",20,0.8053,0.05802,,,17,0.75851,0.16864,,,,,,,S0029,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006E,ES0030,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,5.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",refuge emergence,latency to emerge,novelenvironment_refugeemergence,sec,yes,"individual placed in box, acclimated for 30 seconds, then timed to emerge from opening",20,46.025,72.56313,,,17,61.73529,87.61887,,,,,,,S0030,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006E,ES0031,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,46.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",refuge emergence,latency to emerge,novelenvironment_refugeemergence,sec,yes,"individual placed in box, acclimated for 30 seconds, then timed to emerge from opening",20,57,71.02409,,,17,113.38235,128.30244,,,,,,,S0031,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006F,ES0032,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,5.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",light dark test,time spend in dark,novelenvironment_lightdarktest,sec,yes,"individuals placed in a box, half covered half exposed, time spend in dark side recorded",20,127.3,38.92415,,,17,154.44118,56.74694,,,,,,,S0032,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004A,EX006F,ES0033,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,female,adult,upon pupation,quality,restrict,46.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",light dark test,time spend in dark,novelenvironment_lightdarktest,sec,yes,"individuals placed in a box, half covered half exposed, time spend in dark side recorded",20,162.25,59.89388,,,17,174.85294,83.88734,,,,,,,S0033,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006G,ES0034,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,4.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,activity,novelenvironment_activity,m,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",18,3.1730042,0.6956816,,,15,2.5798496,0.7384206,,,,,,,S0034,NA,NA,NA,positive,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006G,ES0035,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,45.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,activity,novelenvironment_activity,m,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",18,2.4951625,0.6030922,,,15,2.295091,0.6488088,,,,,,,S0035,NA,NA,NA,positive,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006G,ES0036,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,4.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,edge preference,novelenvironment_refugeuse,ratio,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",18,0.81636,0.10487,,,15,0.86016,0.0561,,,,,,,S0036,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006G,ES0037,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,45.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",novel environment,edge preference,novelenvironment_refugeuse,ratio,yes,"individuals placed in perti dish, acclimated for 30 seconds, distance moved and preference for edges recorded",18,0.79469,0.08873,,,15,0.75403,0.1392,,,,,,,S0037,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006H,ES0038,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,5.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",refuge emergence,latency to emerge,novelenvironment_refugeemergence,sec,yes,"individual placed in box, acclimated for 30 seconds, then timed to emerge from opening",18,63.41667,105.01404,,,15,77.4,147.97275,,,,,,,S0038,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
CD010,EG004B,EX006H,ES0039,Wexler,2017,Behavioural Processes,red flour beetle,Tribolium castaneum,insect,lab,lab,male,adult,upon pupation,quality,restrict,46.5,0,continuous,yes (weight),no,high (standard wheat flour diet) low (stressful low protein oat flour diet),adult,"unknown (5 weeks to pupation, unknown pupation time), manipualtions then through to experiments)",refuge emergence,latency to emerge,novelenvironment_refugeemergence,sec,yes,"individual placed in box, acclimated for 30 seconds, then timed to emerge from opening",18,92.94444,108.40581,,,15,209.7,209.0837,,,,,,,S0039,NA,NA,NA,negative,no,CD010_CD216_Data_Flour_Beetle_Stress.xlsx,author correspondence,,,"variables averaged over 2-4 tests, so ManipDuration averaged as time to each test"
