"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"12","CD006","SearchQuery","partial","yes","yes","EG003","EX004","ES0012","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,10,"control","yes (body length; tail length; muscle height; max tail height)","no","juvenile","novel environment","prompts required to reach endpoint","novelenvironment_exploration","count","40","2.526315789","1.331485331","0.210526316",NA,"33","2.273684211","1.451257932","0.252631579",NA,"","",NA,"","S0012",NA,NA,NA,"negative","no","Figure 5b","figure","","",NA,NA,NA,NA,NA
"13","CD006","SearchQuery","partial","yes","yes","EG003","EX005","ES0013","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,73,"control","yes (body length; tail length; muscle height; max tail height)","no","adult","novel environment","activity","novelenvironment_activity","count","19","7.157895","1.253974","",NA,"6","6.833333","2.218608","",NA,"","",NA,"","S0013",NA,NA,NA,"positive","no","CD006_hopping.txt","author correspondence","","",NA,NA,NA,NA,NA
"14","CD006","SearchQuery","partial","yes","yes","EG003","EX005","ES0014","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,107,"control","yes (body length; tail length; muscle height; max tail height)","no","adult","novel environment","activity","novelenvironment_activity","count","18","9.648148","1.855824","",NA,"6","8","3.818086","",NA,"","",NA,"","S0014",NA,NA,NA,"positive","no","CD006_hopping.txt","author correspondence","","",NA,NA,NA,NA,NA
"15","CD006","SearchQuery","partial","yes","yes","EG003","EX005","ES0015","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,114,"control","yes (body length; tail length; muscle height; max tail height)","no","adult","novel environment","activity","novelenvironment_activity","count","18","10.66667","1.976992","",NA,"6","10.77778","2.197642","",NA,"","",NA,"","S0015",NA,NA,NA,"positive","no","CD006_hopping.txt","author correspondence","","",NA,NA,NA,NA,NA
"16","CD006","SearchQuery","partial","yes","yes","EG003","EX005","ES0016","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,73,"control","yes (body length; tail length; muscle height; max tail height)","no","adult","novel environment","distance of hops","novelenvironment_activity","mm","19","130","31.38407239","7.2",NA,"6","101","30.86357076","12.6",NA,"","",NA,"","S0016",NA,NA,NA,"positive","no","Text, pp96","text","","",NA,NA,NA,NA,NA
"17","CD006","SearchQuery","partial","yes","yes","EG003","EX005","ES0017","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,107,"control","yes (body length; tail length; muscle height; max tail height)","no","adult","novel environment","distance of hops","novelenvironment_activity","mm","18","94.43148","39.41161","",NA,"6","89.94444","44.35534","",NA,"","",NA,"","S0017",NA,NA,NA,"positive","no","CD006_hopping.txt","author correspondence","","",NA,NA,NA,NA,NA
"18","CD006","SearchQuery","partial","yes","yes","EG003","EX005","ES0018","Hector","2012","Journal of Zoology","brown tree frog","Litoria ewingii","amphibian","wild","lab","unknown","juvenile","quantity","restrict",14,114,"control","yes (body length; tail length; muscle height; max tail height)","no","adult","novel environment","distance of hops","novelenvironment_activity","mm","18","89.75926","27.6476","",NA,"6","83.61111","36.46759","",NA,"","",NA,"","S0018",NA,NA,NA,"positive","no","CD006_hopping.txt","author correspondence","","",NA,NA,NA,NA,NA
"19","CD010","SearchQuery","partial","yes","yes","EG004A","EX006D","ES0026","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",4.5,0,"continuous","yes (weight)","no","adult","novel environment","activity","novelenvironment_activity","m","20","2.6588247","0.5404937","",NA,"17","2.4249114","0.5906291","",NA,"","",NA,"","S0026",NA,NA,NA,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0170239596490572
"20","CD010","SearchQuery","partial","yes","yes","EG004A","EX006D","ES0027","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",45.5,0,"continuous","yes (weight)","no","adult","novel environment","activity","novelenvironment_activity","m","20","2.7304755","0.6116828","",NA,"17","2.3920498","0.6088917","",NA,"","",NA,"","S0027",NA,NA,NA,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.17213114756269
"21","CD010","SearchQuery","partial","yes","yes","EG004A","EX006D","ES0028","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",4.5,0,"continuous","yes (weight)","no","adult","novel environment","edge preference","novelenvironment_refugeuse","ratio","20","0.822","0.06906","",NA,"17","0.80449","0.08363","",NA,"","",NA,"","S0028",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0170239596490572
"22","CD010","SearchQuery","partial","yes","yes","EG004A","EX006D","ES0029","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",45.5,0,"continuous","yes (weight)","no","adult","novel environment","edge preference","novelenvironment_refugeuse","ratio","20","0.8053","0.05802","",NA,"17","0.75851","0.16864","",NA,"","",NA,"","S0029",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.17213114756269
"23","CD010","SearchQuery","partial","yes","yes","EG004A","EX006E","ES0030","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",5.5,0,"continuous","yes (weight)","no","adult","refuge emergence","latency to emerge","novelenvironment_refugeemergence","sec","20","46.025","72.56313","",NA,"17","61.73529","87.61887","",NA,"","",NA,"","S0030",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0208070617932922
"24","CD010","SearchQuery","partial","yes","yes","EG004A","EX006E","ES0031","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",46.5,0,"continuous","yes (weight)","no","adult","refuge emergence","latency to emerge","novelenvironment_refugeemergence","sec","20","57","71.02409","",NA,"17","113.38235","128.30244","",NA,"","",NA,"","S0031",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.175914249706925
"25","CD010","SearchQuery","partial","yes","yes","EG004A","EX006F","ES0032","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",5.5,0,"continuous","yes (weight)","no","adult","light dark test","time spend in dark","novelenvironment_lightdarktest","sec","20","127.3","38.92415","",NA,"17","154.44118","56.74694","",NA,"","",NA,"","S0032",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0208070617932922
"26","CD010","SearchQuery","partial","yes","yes","EG004A","EX006F","ES0033","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quality","restrict",46.5,0,"continuous","yes (weight)","no","adult","light dark test","time spend in dark","novelenvironment_lightdarktest","sec","20","162.25","59.89388","",NA,"17","174.85294","83.88734","",NA,"","",NA,"","S0033",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.175914249706925
"27","CD010","SearchQuery","partial","yes","yes","EG004B","EX006G","ES0034","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",4.5,0,"continuous","yes (weight)","no","adult","novel environment","activity","novelenvironment_activity","m","18","3.1730042","0.6956816","",NA,"15","2.5798496","0.7384206","",NA,"","",NA,"","S0034",NA,NA,NA,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0170239596490572
"28","CD010","SearchQuery","partial","yes","yes","EG004B","EX006G","ES0035","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",45.5,0,"continuous","yes (weight)","no","adult","novel environment","activity","novelenvironment_activity","m","18","2.4951625","0.6030922","",NA,"15","2.295091","0.6488088","",NA,"","",NA,"","S0035",NA,NA,NA,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.17213114756269
"29","CD010","SearchQuery","partial","yes","yes","EG004B","EX006G","ES0036","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",4.5,0,"continuous","yes (weight)","no","adult","novel environment","edge preference","novelenvironment_refugeuse","ratio","18","0.81636","0.10487","",NA,"15","0.86016","0.0561","",NA,"","",NA,"","S0036",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0170239596490572
"30","CD010","SearchQuery","partial","yes","yes","EG004B","EX006G","ES0037","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",45.5,0,"continuous","yes (weight)","no","adult","novel environment","edge preference","novelenvironment_refugeuse","ratio","18","0.79469","0.08873","",NA,"15","0.75403","0.1392","",NA,"","",NA,"","S0037",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.17213114756269
"31","CD010","SearchQuery","partial","yes","yes","EG004B","EX006H","ES0038","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",5.5,0,"continuous","yes (weight)","no","adult","refuge emergence","latency to emerge","novelenvironment_refugeemergence","sec","18","63.41667","105.01404","",NA,"15","77.4","147.97275","",NA,"","",NA,"","S0038",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0208070617932922
"32","CD010","SearchQuery","partial","yes","yes","EG004B","EX006H","ES0039","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",46.5,0,"continuous","yes (weight)","no","adult","refuge emergence","latency to emerge","novelenvironment_refugeemergence","sec","18","92.94444","108.40581","",NA,"15","209.7","209.0837","",NA,"","",NA,"","S0039",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.175914249706925
"33","CD010","SearchQuery","partial","yes","yes","EG004B","EX006I","ES0040","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",5.5,0,"continuous","yes (weight)","no","adult","light dark test","time spend in dark","novelenvironment_lightdarktest","sec","18","156.55556","65.06397","",NA,"15","164.66667","69.62903","",NA,"","",NA,"","S0040",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0208070617932922
"34","CD010","SearchQuery","partial","yes","yes","EG004B","EX006I","ES0041","Wexler","2017","Behavioural Processes","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quality","restrict",46.5,0,"continuous","yes (weight)","no","adult","light dark test","time spend in dark","novelenvironment_lightdarktest","sec","18","153.41667","70.35274","",NA,"15","148.63333","96.2416","",NA,"","",NA,"","S0041",NA,NA,NA,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.175914249706925
"42","CD011","SearchQuery","yes","yes","yes","EG005","EX007","ES0042","Naslund","2017","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",9,7.5,"control","yes (length; mass; growth rate; condition factor)","no","juvenile","novel environment","activity","novelenvironment_activity","unknown","58","280.7586207","100.3873743","",NA,"73","273.5479452","107.1572107","",NA,"","",NA,"","S0042",NA,NA,NA,"positive","no","Figshare repository (https://doi. org/10.6084/m9.figshare.4789492)","raw","","",13870,"systematic",0.000540735400144196,9.53748351330888,0.000648882480173035
"43","CD011","SearchQuery","yes","yes","yes","EG006","EX008","ES0043","Naslund","2017","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",9,7.5,"control","yes (length; mass; growth rate; condition factor)","no","juvenile","novel environment","activity","novelenvironment_activity","unknown","67","284.1791045","130.1372149","",NA,"71","293.4647887","135.2925751","",NA,"","",NA,"","S0043",NA,NA,NA,"positive","no","Figshare repository (https://doi. org/10.6084/m9.figshare.4789492)","raw","","",13870,"systematic",0.000540735400144196,9.53748351330888,0.000648882480173035
"44","CD013","SearchQuery","yes","yes","yes","EG007","EX009","ES0044","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",12,26,"high and low diet groups, then to satiation on day before trials","yes (growth rate; mass; fork length)","no","juvenile","novel environment","activity","novelenvironment_activity","count","42","107.258567","36.305213","5.602015986",NA,"46","117.453271","36.29828458","5.351890083",NA,"","",NA,"","S0044",NA,NA,NA,"positive","yes","Figure 2d","figure","","",13870,"systematic",0.00187454938716655,9.53748351330888,0.000865176640230714
"45","CD013","SearchQuery","yes","yes","yes","EG007","EX009","ES0045","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",24,1,"satiation","yes (growth rate; mass; fork length)","no","juvenile","novel environment","activity","novelenvironment_activity","count","43","119.0051076","31.32261032","4.776653293",NA,"45","106.4553479","40.1540931","5.985818783",NA,"","",NA,"","S0045",NA,NA,NA,"positive","yes","Figure 2d","figure","","",13870,"systematic",7.20980533525595e-05,9.53748351330888,0.00173035328046143
"46","CD013","SearchQuery","yes","yes","yes","EG007","EX009","ES0046","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",12,26,"high and low diet groups, then to satiation on day before trials","yes (growth rate; mass; fork length)","no","juvenile","novel object","distance to object","novelobject_response","none","42","2.66975968","0.244466387","0.037721983",NA,"46","2.552336449","0.291025059","0.042909304",NA,"","",NA,"","S0046",NA,NA,NA,"negative","yes","Figure 2e","figure","","",13870,"systematic",0.00187454938716655,9.53748351330888,0.000865176640230714
"47","CD013","SearchQuery","yes","yes","yes","EG007","EX009","ES0047","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",24,1,"satiation","yes (growth rate; mass; fork length)","no","juvenile","novel object","distance to object","novelobject_response","none","43","2.582199522","0.283330215","0.043207453",NA,"45","2.633395639","0.266931474","0.039791795",NA,"","",NA,"","S0047",NA,NA,NA,"negative","yes","Figure 2e","figure","","",13870,"systematic",7.20980533525595e-05,9.53748351330888,0.00173035328046143
"61","CD015","SearchQuery","yes","yes","yes","EG011","EX016","ES0061","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","no","adult","novel environment","activity","novelenvironment_activity","percentage (individual)","9","0.08","0.07096","",NA,"10","0.086","0.065532","",NA,"","",NA,"","S0054",NA,NA,NA,"positive","no","Supplementary Information, Table S1 (for CD110)","table","","",4380,"systematic",0.123287671232877,8.38480400337049,0.00570776255707763
"62","CD015","SearchQuery","yes","yes","yes","EG011","EX016","ES0062","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","no","adult","novel environment","activity","novelenvironment_activity","percentage (individual)","9","0.167","0.106045","",NA,"10","0.188","0.1175","",NA,"","",NA,"","S0055",NA,NA,NA,"positive","no","Supplementary Information, Table S1 (for CD110)","table","","",4380,"systematic",0.123287671232877,8.38480400337049,0.00570776255707763
"63","CD015","SearchQuery","yes","yes","yes","EG011","EX016","ES0063","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","no","adult","novel environment","feeding rate","novelenvironment_feeding","percentage (individual)","9","0.035","0.044485","",NA,"10","0.014","0.020202","",NA,"","",NA,"","S0056",NA,NA,NA,"positive","no","Supplementary Information, Table S1 (for CD110)","table","","",4380,"systematic",0.123287671232877,8.38480400337049,0.00570776255707763
"64","CD015","SearchQuery","yes","yes","yes","EG011","EX016","ES0064","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","no","adult","novel environment","feeding rate","novelenvironment_feeding","percentage (individual)","9","0.078","0.04719","",NA,"10","0.052","0.041548","",NA,"","",NA,"","S0057",NA,NA,NA,"positive","no","Supplementary Information, Table S1 (for CD110)","table","","",4380,"systematic",0.123287671232877,8.38480400337049,0.00570776255707763
"65","CD030","SearchQuery","partial","yes","yes","EG014","EX019","ES0068","Altwegg","2003","Oikos","southern hawker dragonfly","Aeshna cyanea","insect","wild","lab","unknown","juvenile","starvation","restrict",2,0,"continuous","unknown","no","juvenile","novel environment","activity","novelenvironment_activity","percentage (individual)","19","25.66308244","15.6232937","3.584229391",NA,"26","4.794618461","7.540329724","1.478780323",NA,"","",NA,"","S0061",NA,NA,NA,"positive","no","Figure 1","figure","","",1460,"non-systematic",0,7.28619171470238,0.00136986301369863
"66","CD030","SearchQuery","partial","yes","yes","EG013","EX018","ES0067","Altwegg","2003","Oikos","emperor dragonfly","Anax imperator","insect","wild","lab","unknown","juvenile","starvation","restrict",2,0,"continuous","unknown","no","juvenile","novel environment","activity","novelenvironment_activity","percentage (individual)","16","8.021048257","9.679289388","2.419822347",NA,"19","2.105926965","3.515920357","0.806607449",NA,"","",NA,"","S0060",NA,NA,NA,"positive","no","Figure 1","figure","","",730,"non-systematic",0,6.59304453414244,0.00273972602739726
"67","CD030","SearchQuery","partial","yes","yes","EG015","EX020","ES0069","Altwegg","2003","Oikos","great diving beetle","Dytiscus marginalis","insect","wild","lab","unknown","juvenile","starvation","restrict",2,0,"continuous","unknown","no","juvenile","novel environment","activity","novelenvironment_activity","percentage (individual)","6","17.83477222","7.244514467","2.957560646",NA,"7","24.82537011","20.2737858","7.662770765",NA,"","",NA,"","S0062",NA,NA,NA,"positive","no","Figure 1","figure","","",NA,NA,NA,NA,NA
"68","CD030","SearchQuery","partial","yes","yes","EG012","EX017","ES0065","Altwegg","2003","Oikos","pool frog","Pelophylax lessonae","amphibian","lab","lab","unknown","juvenile","starvation","restrict",1,0,"continuous","unknown (weight measured but not in response to treatment)","no","juvenile","novel environment","activity","novelenvironment_activity","percentage (individual)","144","13.125","17.27032","",NA,"144","13.875","16.9181","",NA,"mean difference","-0.008",NA,"0.7","S0058",NA,NA,NA,"positive","no","CD030_trials.xlsx","author correspondence","","",2190,"systematic",0,7.69165682281055,0.00045662100456621
"69","CD030","SearchQuery","partial","yes","yes","EG012","EX017","ES0066","Altwegg","2003","Oikos","pool frog","Pelophylax lessonae","amphibian","lab","lab","unknown","juvenile","starvation","restrict",1,0,"continuous","unknown (weight measured but not in response to treatment)","no","juvenile","predator response","activity","predation_response","percentage (individual)","50","15.86","14.92294","",NA,"50","8.4","9.764576","",NA,"mean difference","0.075",NA,"0.7","S0059",NA,NA,NA,"positive","no","CD030_trials.xlsx","author correspondence","","",2190,"systematic",0,7.69165682281055,0.00045662100456621
"70","CD031","SearchQuery","yes","yes","yes","EG016","EX021","ES0070","Amo","2007","Physiology and Behavior","Iberian rock lizard","Iberolacerta cyreni","reptile","wild","lab","male","adult","quantity","restrict",10,0,"control","yes (body mass, parasite load)","no","adult","predator response","latency to emerge","predation_response","sec","10","191.4624506","149.9894542","47.43083004",NA,"10","178.8142292","139.9901573","44.2687747",NA,"","",NA,"","S0063",NA,NA,NA,"negative","no","Figure 3b","figure","","",NA,NA,NA,NA,NA
