,StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipLifeStage.,ManipPostDiet,ManipConditionEffect,ManipNotes,ManipGroups,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,error,error_description,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction.notes
111,CD387,EG118,EX136,ES0797,Mehta,2006,Ethology,trinket snake,Coelognathus helena (synonym Elaphe helena),reptile,lab,lab,unknown,juvenile,"Although hatchlings were 25–33 d old at the start of the study, sex could not be determined reliably. ","Although hatchlings were 25–33 d old at the start of the study, sex could not be determined reliably. ","Although hatchlings were 25–33 d old at the start of the study, sex could not be determined reliably. ","Although hatchlings were 25–33 d old at the start of the study, sex could not be determined reliably. ","Although hatchlings were 25–33 d old at the start of the study, sex could not be determined reliably. ",continuous,unknown,"fed 2hrs before trial, with 20-35, 50-59 and 70-79%",control_LC3,juvenile,"Although hatchlings were 25–33 d old at the start of the study, sex could not be determined reliably. ",predator response,endurance time,predation_response,sec,no,"in experimental track, fleeding behaviour induced by tapping their tail. Fleeing speed, distance and time fleeing recorded",12,138.8169014,39.03213087,11.26760563,NA,12,133.4084507,28.10313423,8.112676056,NA,,,,,,,negative,no,Figure 1c,figure,,,"shared LC control group, 20–35% supplementation group"
112,CD391,EG120,EX138,ES0807,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,female,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-1 larvae,novel environment,activity,novelenvironment_activity,count (position changes),yes,non-predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),9.338709677,,0.870967742,NA,208 total amoung 8 experimental groups (sex x food level x predation),12.17741935,,0.5,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
113,CD391,EG123,EX141,ES0814,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,male,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-0 larvae,predator response,activity,predation_response,count (position changes),yes,predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),7.758064516,,0.451612903,NA,208 total amoung 8 experimental groups (sex x food level x predation),10.85483871,,0.483870968,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
114,CD391,EG122,EX140,ES0813,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,female,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-0 larvae,predator response,activity,predation_response,count (position changes),yes,predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),7.838709677,,0.532258065,NA,208 total amoung 8 experimental groups (sex x food level x predation),9.14516129,,0.629032258,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
115,CD391,EG121,EX139,ES0812,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,male,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-0 larvae,novel environment,activity,novelenvironment_activity,count (position changes),yes,non-predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),11.70967742,,0.5,NA,208 total amoung 8 experimental groups (sex x food level x predation),11.22580645,,0.435483871,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
116,CD391,EG123,EX141,ES0810,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,male,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-1 larvae,predator response,activity,predation_response,count (position changes),yes,predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),6.532258065,,0.677419355,NA,208 total amoung 8 experimental groups (sex x food level x predation),10.38709677,,0.403225806,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
117,CD391,EG120,EX138,ES0811,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,female,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-0 larvae,novel environment,activity,novelenvironment_activity,count (position changes),yes,non-predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),11.17741935,,0.564516129,NA,208 total amoung 8 experimental groups (sex x food level x predation),11,,0.5,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
118,CD391,EG121,EX139,ES0808,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,male,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-1 larvae,novel environment,activity,novelenvironment_activity,count (position changes),yes,non-predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),10.19354839,,0.596774194,NA,208 total amoung 8 experimental groups (sex x food level x predation),11.75806452,,0.451612903,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
119,CD391,EG122,EX140,ES0809,Mikolajewski,2005,Oikos,azure damselfly,Coenagrion puella,insect,lab (wild caught eggs),lab,female,juvenile,F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),F-6 larvae (range F-7 to F5),continuous,"yes (mass at emergence, fat content, growth rate, mortality)","In the high food treatment, larval C. puella were fed 10 daphnids every other day, while in the low food treatment larvae were fed 10 daphnids only once a week. Whereas the high food level treatment assured an ad libitum food supply, daphnids in the low food treatment",no,juvenile,F-1 larvae,predator response,activity,predation_response,count (position changes),yes,predator exposed group,208 total amoung 8 experimental groups (sex x food level x predation),6.016129032,,0.822580645,NA,208 total amoung 8 experimental groups (sex x food level x predation),8.129032258,,0.370967742,NA,,,,,,,positive,no,Figure 1,figure,exclude_all,insufficient data available,"not marginalised as predator cue is also manipulated in the behavioural assay for the predator group; ManipDuration estimated from Waringer, J. A., & Humpesch, U. H. (1984). Embryonic development, larval growth and life cycle of Coenagrion puella (Odonata: Zygoptera) from an Austrian pond. Freshwater Biology, 14(4), 385-399., with estimated development times for each instar at 18 averaged from values for development times at 16 and 20 degrees
 (Table 4)"
122,CD394,EG126,EX144,ES0817,Miller,2011,Journal of Avian Biology,mourning dove,Zenaida macroura,bird,wild,lab,unknown,juvenile,"The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old",continuous,yes (weight),"At 13 days, young were assigned to low (8.5 g day(1), medium (11 g day(1), and high quantity (14 g day(1) feeding-rate treatments (5:3 dry to wet feed).",control_HC2,juvenile,25,predator response,escape flight time,predation_response,sec,yes,The measure mimicked the ability to escape when a predator approached while birds are feeding on the ground. Individuals were placed on a low perch in a long narrow flight tunnel (6.0) 1.2)1.8 m) and startled using an object that swung directly behind and underneath the perch,17,0.668762279,0.103685171,0.025147348,NA,15,0.651473477,0.112613268,0.029076621,NA,,,,,,,negative,no,Figure 1B,figure,,,"treatments considered a restriction and supplementation treatment as referred to as low, medium and high, therefore medium taken as control. Also goal of experiment appears to be to produce a poor condition group and a high condition group to complre to this control"
123,CD394,EG126,EX144,ES0818,Miller,2011,Journal of Avian Biology,mourning dove,Zenaida macroura,bird,wild,lab,unknown,juvenile,"The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old",continuous,yes (weight),"At 13 days, young were assigned to low (8.5 g day(1), medium (11 g day(1), and high quantity (14 g day(1) feeding-rate treatments (5:3 dry to wet feed).",control_LC2,juvenile,25,predator response,escape flight time,predation_response,sec,yes,The measure mimicked the ability to escape when a predator approached while birds are feeding on the ground. Individuals were placed on a low perch in a long narrow flight tunnel (6.0) 1.2)1.8 m) and startled using an object that swung directly behind and underneath the perch,15,0.651473477,0.112613268,0.029076621,NA,17,0.660903733,0.113405656,0.027504912,NA,,,,,,,negative,no,Figure 1B,figure,,,"treatments considered a restriction and supplementation treatment as referred to as low, medium and high, therefore medium taken as control. Also goal of experiment appears to be to produce a poor condition group and a high condition group to complre to this control"
124,CD394,EG126,EX144,ES0820,Miller,2011,Journal of Avian Biology,mourning dove,Zenaida macroura,bird,wild,lab,unknown,juvenile,"The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old",control,yes (weight),"At 13 days, young were assigned to low (8.5 g day(1), medium (11 g day(1), and high quantity (14 g day(1) feeding-rate treatments (5:3 dry to wet feed).",control_LC2,juvenile,35,predator response,escape flight time,predation_response,sec,yes,The measure mimicked the ability to escape when a predator approached while birds are feeding on the ground. Individuals were placed on a low perch in a long narrow flight tunnel (6.0) 1.2)1.8 m) and startled using an object that swung directly behind and underneath the perch,15,0.597249509,0.085220852,0.022003929,NA,17,0.537524558,0.084244201,0.02043222,NA,,,,,,,negative,no,Figure 1B,figure,,,"treatments considered a restriction and supplementation treatment as referred to as low, medium and high, therefore medium taken as control. Also goal of experiment appears to be to produce a poor condition group and a high condition group to complre to this control"
125,CD394,EG126,EX144,ES0821,Miller,2011,Journal of Avian Biology,mourning dove,Zenaida macroura,bird,wild,lab,unknown,juvenile,"The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old",control,yes (weight),"At 13 days, young were assigned to low (8.5 g day(1), medium (11 g day(1), and high quantity (14 g day(1) feeding-rate treatments (5:3 dry to wet feed).",control_HC2,juvenile,90,predator response,escape flight time,predation_response,sec,yes,The measure mimicked the ability to escape when a predator approached while birds are feeding on the ground. Individuals were placed on a low perch in a long narrow flight tunnel (6.0) 1.2)1.8 m) and startled using an object that swung directly behind and underneath the perch,17,0.506876228,0.038881939,0.009430255,NA,15,0.462868369,0.039566824,0.01021611,NA,,,,,,,negative,no,Figure 1B,figure,,,"treatments considered a restriction and supplementation treatment as referred to as low, medium and high, therefore medium taken as control. Also goal of experiment appears to be to produce a poor condition group and a high condition group to complre to this control"
126,CD394,EG126,EX144,ES0819,Miller,2011,Journal of Avian Biology,mourning dove,Zenaida macroura,bird,wild,lab,unknown,juvenile,"The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old",control,yes (weight),"At 13 days, young were assigned to low (8.5 g day(1), medium (11 g day(1), and high quantity (14 g day(1) feeding-rate treatments (5:3 dry to wet feed).",control_HC2,juvenile,35,predator response,escape flight time,predation_response,sec,yes,The measure mimicked the ability to escape when a predator approached while birds are feeding on the ground. Individuals were placed on a low perch in a long narrow flight tunnel (6.0) 1.2)1.8 m) and startled using an object that swung directly behind and underneath the perch,17,0.587819253,0.084244201,0.02043222,NA,15,0.597249509,0.085220852,0.022003929,NA,,,,,,,negative,no,Figure 1B,figure,,,"treatments considered a restriction and supplementation treatment as referred to as low, medium and high, therefore medium taken as control. Also goal of experiment appears to be to produce a poor condition group and a high condition group to complre to this control"
127,CD394,EG126,EX144,ES0822,Miller,2011,Journal of Avian Biology,mourning dove,Zenaida macroura,bird,wild,lab,unknown,juvenile,"The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old","The second experimental treatment occurred in the aviary during the fledgling stage, a period when mourning dove young still benefit from parental care. 13 - 25 days old",control,yes (weight),"At 13 days, young were assigned to low (8.5 g day(1), medium (11 g day(1), and high quantity (14 g day(1) feeding-rate treatments (5:3 dry to wet feed).",control_LC2,juvenile,90,predator response,escape flight time,predation_response,sec,yes,The measure mimicked the ability to escape when a predator approached while birds are feeding on the ground. Individuals were placed on a low perch in a long narrow flight tunnel (6.0) 1.2)1.8 m) and startled using an object that swung directly behind and underneath the perch,15,0.462868369,0.039566824,0.01021611,NA,17,0.482514735,0.035641778,0.008644401,NA,,,,,,,negative,no,Figure 1B,figure,,,"treatments considered a restriction and supplementation treatment as referred to as low, medium and high, therefore medium taken as control. Also goal of experiment appears to be to produce a poor condition group and a high condition group to complre to this control"
128,CD396,EG127,EX145,ES0823,MishraS,2011,Journal of Comparative Psychology,Madagascar hissing cockroach,Gromphadorhina portentosa,insect,lab,lab,male,juvenile,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,control,"yes (growth rate, mass, size, morphology)","Both ad libitum food but 1x diluted with 50% indigestible cellulose, could be a quantity or quality treatment",no,adult,2 weeks after adult moult,disturbance response (could be predator response or light-dark),latency to emerge,NA,sec,no,"Focal males were placed in an opaque plastic tube (diameter ? 4.25 cm; length ? 11 cm) and a snap-on lid was used to cover the tube. The tube was then rolled back and forth three times (amplitude ? 18 in; frequency ? 0.5 Hz), and placed in the focal male’s enclosure in the dark trial room. The lid of the tube was then removed. An observer recorded time that elapsed between the removal of the lid and the emergence of the animal’s head from the tube, and from that time until the tip of the animal’s abdomen left the tube.",42,1479.380952,1640.363174,253.1135329,NA,44,908.3636364,993.2131908,149.7325223,NA,,,,,,,negative,yes,Table 3,table,exclude_all,excluded behavioural response variable,"ManipDuration taken as mean development time, ManipOffset taken as average time to 6 trials (weekly trials starting 2 weeks after adult mount)"
132,CD396,EG127,EX147,ES0825,MishraS,2011,Journal of Comparative Psychology,Madagascar hissing cockroach,Gromphadorhina portentosa,insect,lab,lab,male,juvenile,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,control,"yes (growth rate, mass, size, morphology)","Both ad libitum food but 1x diluted with 50% indigestible cellulose, could be a quantity or quality treatment",no,adult,2 weeks after adult moult,novel environment,PC,NA,arbitrary,no,"At the beginning of the assay, the male was placed under an opaque cup (diameter ? 10 cm; length ? 3.5 cm) at one end of their enclosure. A removable door (height ? 2 cm; width ? 3.6 cm) on one side of the cup was attached to the cup using hook and loop fabric. One gram of previously frozen banana (a highly desirable food to this species; Logue et al., 2009) was placed on a food dish five centimeters away from the removable door. After a five-minute acclimation period, the door was removed. The time it took for the male to emerge from the shelter and begin consuming the food item was termed “latency to eat.”male entered a square that he had not visited previously), old squares explored (scored when a male entered a square that he had visited previously), number of times the male climbed the wall, and the total time spent climbing.",42,-0.144285714,0.972811175,0.150108023,NA,44,0.165454545,1.134543789,0.171038912,NA,,,,,,,positive,yes,Table 3,table,exclude_all,excluded behavioural response variable,"ManipDuration taken as mean development time, ManipOffset taken as average time to 6 trials (weekly trials starting 2 weeks after adult mount)"
134,CD396,EG127,EX146,ES0824,MishraS,2011,Journal of Comparative Psychology,Madagascar hissing cockroach,Gromphadorhina portentosa,insect,lab,lab,male,juvenile,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,Focal males in the penultimate instar,control,"yes (growth rate, mass, size, morphology)","Both ad libitum food but 1x diluted with 50% indigestible cellulose, could be a quantity or quality treatment",no,adult,2 weeks after adult moult,foraging assay (potentially a novel food),latency to eat,NA,sec,no,"At the beginning of the assay, the male was placed under an opaque cup (diameter ? 10 cm; length ? 3.5 cm) at one end of their enclosure. A removable door (height ? 2 cm; width ? 3.6 cm) on one side of the cup was attached to the cup using hook and loop fabric. One gram of previously frozen banana (a highly desirable food to this species; Logue et al., 2009) was placed on a food dish five centimeters away from the removable door. After a five-minute acclimation period, the door was removed. The time it took for the male to emerge from the shelter and begin consuming the food item was termed “latency to eat.”",42,343.6666667,344.2575024,53.12008588,NA,44,250.7272727,340.4798403,51.32926722,NA,,,,,,,negative,yes,Table 3,table,exclude_all,excluded behavioural response variable,"ManipDuration taken as mean development time, ManipOffset taken as average time to 6 trials (weekly trials starting 2 weeks after adult mount)"
139,CD414,EG138,EX164,ES0884,Murthy,2016,Animal Behaviour,yellow fever mosquito,Aedes aegypti,insect,lab,lab,unknown,juvenile,Larvae,Larvae,Larvae,Larvae,Larvae,continuous,"yes (in cited study, appendix)","one of four rearing environments varying in the amount of food (finely powdered dried fish food) provisioned: 0.02, 0.04, 0.1 and 0.2 mg/40 ml. This range in food provisioned represented a resource-poor to resource-rich range in food availability and was finalized based on preliminary experiments which monitored larval development and survival under a wide range of food concentration conditions..... Time to pupation decreased and survival probability and pupal weights increased with increasing food concentrations, indicating that resource depletion and competition acted in the range of food concentrations tested. These experiments helped identify food concentrations representing a range in resource availability.",control_HC3,juvenile,unknown,light-dark test,time spend in light side,novelenvironment_lightdarktest,proportion (group),no,"Petri plates (90 mm in diameter) were divided in half, one half representing a lighter and the other a darker background. The lighter background was presumed to represent a habitat of higher risk than the darker background because mosquito larvae are detected more easily by predators against a lighter background and some studies have shown that mosquito larvae avoid lighter, more open habitats (Foley et al., 2002). Our two assay environments differed in the level of contrast between the two halves. In the stark-contrast assay environment, representing a large difference in risk between the two habitats, the high-risk half of the plate had only 50 (1.57 per cm2) randomly placed dots (each 0.18 mm in diameter) and the low-risk half had a very dark background with 10 000 randomly placed points (314.25 per cm2). In the mildcontrast assay environment, on the other hand, the lighter, highrisk habitat had 500 points (15.71 per cm2) and the darker, lowrisk one 5000 points (157.13 per cm2; Fig. 1). Thus, there was a 200-fold difference in dot density between the two habitats in the stark-contrast and only a 10-fold difference in the mild-contrast environment.",15,0.274048443,0.080407959,0.020761246,NA,15,0.186851211,0.104530346,0.026989619,NA,,,,,,,positive,no,Figure 2b,figure,,,"group trials, mild contrast, 0.1mg food concentration"
148,CD414,EG138,EX164,ES0883,Murthy,2016,Animal Behaviour,yellow fever mosquito,Aedes aegypti,insect,lab,lab,unknown,juvenile,Larvae,Larvae,Larvae,Larvae,Larvae,continuous,"yes (in cited study, appendix)","one of four rearing environments varying in the amount of food (finely powdered dried fish food) provisioned: 0.02, 0.04, 0.1 and 0.2 mg/40 ml. This range in food provisioned represented a resource-poor to resource-rich range in food availability and was finalized based on preliminary experiments which monitored larval development and survival under a wide range of food concentration conditions..... Time to pupation decreased and survival probability and pupal weights increased with increasing food concentrations, indicating that resource depletion and competition acted in the range of food concentrations tested. These experiments helped identify food concentrations representing a range in resource availability.",control_HC3,juvenile,unknown,light-dark test,time spend in light side,novelenvironment_lightdarktest,proportion (group),no,"Petri plates (90 mm in diameter) were divided in half, one half representing a lighter and the other a darker background. The lighter background was presumed to represent a habitat of higher risk than the darker background because mosquito larvae are detected more easily by predators against a lighter background and some studies have shown that mosquito larvae avoid lighter, more open habitats (Foley et al., 2002). Our two assay environments differed in the level of contrast between the two halves. In the stark-contrast assay environment, representing a large difference in risk between the two habitats, the high-risk half of the plate had only 50 (1.57 per cm2) randomly placed dots (each 0.18 mm in diameter) and the low-risk half had a very dark background with 10 000 randomly placed points (314.25 per cm2). In the mildcontrast assay environment, on the other hand, the lighter, highrisk habitat had 500 points (15.71 per cm2) and the darker, lowrisk one 5000 points (157.13 per cm2; Fig. 1). Thus, there was a 200-fold difference in dot density between the two habitats in the stark-contrast and only a 10-fold difference in the mild-contrast environment.",15,0.132871972,0.080407959,0.020761246,NA,15,0.186851211,0.104530346,0.026989619,NA,,,,,,,positive,no,Figure 2b,figure,,,"group trials, mild contrast, 0.04mg food concentration"
