"","StudyID","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipLifeStage.","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipNotes","ManipGroups","ExpLifeStage","ExpAge","ExpType","ExpVar","RiskContext","ExpVarUnit","ExpRepeated","ExpNotes","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","Extraction.notes"
"44","CD013","EG007","EX009","ES0044","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","fry 'recently emerged fry'","quantity","restrict",12,26,"high and low diet groups, then to satiation on day before trials","yes (growth rate; mass; fork length)","high (10 prey items per day) low (2 prey items per day)","marginal","juvenile","unknown","novel environment","activity","novelenvironment_activity","count","yes","individuals placed in 'forced open field', number of grid lines crossed in 5 mins","42","107.258567","36.305213","5.602015986",NA,"46","117.453271","36.29828458","5.351890083",NA,"","","","","positive","yes","Figure 2d","figure","","","mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset"
"45","CD013","EG007","EX009","ES0045","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","fry 'recently emerged fry'","quantity","restrict",24,1,"satiation","yes (growth rate; mass; fork length)","high (10-18 prey items per day) low (2-4 prey items per day)","marginal","juvenile","unknown","novel environment","activity","novelenvironment_activity","count","yes","individuals placed in 'forced open field', number of grid lines crossed in 5 mins","43","119.0051076","31.32261032","4.776653293",NA,"45","106.4553479","40.1540931","5.985818783",NA,"","","","","positive","yes","Figure 2d","figure","","","mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset and ManipDuration"
"46","CD013","EG007","EX009","ES0046","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","fry 'recently emerged fry'","quantity","restrict",12,26,"high and low diet groups, then to satiation on day before trials","yes (growth rate; mass; fork length)","high (10 prey items per day) low (2 prey items per day)","marginal","juvenile","unknown","novel object","distance to object","novelobject_response","none","yes","novel object lowered into the same experimental arena as above, average zone recorded (1 closest, 4 is farthest)","42","2.66975968","0.244466387","0.037721983",NA,"46","2.552336449","0.291025059","0.042909304",NA,"","","","","negative","yes","Figure 2e","figure","","","mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset"
"47","CD013","EG007","EX009","ES0047","Naslund","2016","Behavioral Ecology and Sociobiology","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","fry 'recently emerged fry'","quantity","restrict",24,1,"satiation","yes (growth rate; mass; fork length)","high (10-18 prey items per day) low (2-4 prey items per day)","marginal","juvenile","unknown","novel object","distance to object","novelobject_response","none","yes","novel object lowered into the same experimental arena as above, average zone recorded (1 closest, 4 is farthest)","43","2.582199522","0.283330215","0.043207453",NA,"45","2.633395639","0.266931474","0.039791795",NA,"","","","","negative","yes","Figure 2e","figure","","","mean estimates from GLMM and 95% Cis reported, sd calculated from metaDigitise, 2 trials so average used for ManipOffset and ManipDuration"
"48","CD014","EG008","EX010","ES0048","Lichtenstein","2016","Behavioral Ecology and Sociobiology","desert grass spider","Agelenopsis aperta","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","control_HC3","adult","unknown","aggressive response (novel object)","inverse latency to attack","novelobject_response","sec","yes","object (piece of paper) introduced to web, time to attack the object recorded","19","217.3202614","53.41787921","12.25490196",NA,"20","162.5816993","47.49817599","10.62091503",NA,"","","","","positive","no","Figure 2a","figure","","","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"49","CD014","EG008","EX010","ES0049","Lichtenstein","2016","Behavioral Ecology and Sociobiology","desert grass spider","Agelenopsis aperta","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","control_HC3","adult","unknown","aggressive response (novel object)","inverse latency to attack","novelobject_response","sec","yes","object (piece of paper) introduced to web, time to attack the object recorded","20","187.9493464","57.29675076","12.81194296",NA,"20","162.5816993","47.49817599","10.62091503",NA,"","","","","positive","no","Figure 2a","figure","","","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"50","CD014","EG008","EX010","ES0050","Lichtenstein","2016","Behavioral Ecology and Sociobiology","desert grass spider","Agelenopsis aperta","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","control_HC3","adult","unknown","aggressive response (novel object)","inverse latency to attack","novelobject_response","sec","yes","object (piece of paper) introduced to web, time to attack the object recorded","20","177.699792","60.1615883","13.45254011",NA,"20","162.5816993","47.49817599","10.62091503",NA,"","","","","positive","no","Figure 2a","figure","","","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"51","CD014","EG008","EX011","ES0051","Lichtenstein","2016","Behavioral Ecology and Sociobiology","desert grass spider","Agelenopsis aperta","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","no","adult","unknown","predator response","latency to move","predation_response","sec","yes","wind blown on spider (simulated predator attack), time taken to begin moving after 'death feign' response","19","","","",NA,"20","","","",NA,"z","0.32","","0.009","negative","no","Table 1","table","exclude_all","insufficient data available","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"52","CD014","EG009","EX012","ES0052","Lichtenstein","2016","Behavioral Ecology and Sociobiology","western black widow","Latrodectus hesperus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (3 prey per week) low (0.33 prey per week)","control_HC4","adult","unknown","aggressive response (novel object)","proportion attacking","novelobject_response","proportion (treatment level)","yes","object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded","30","0.370491803","0.143664933","0.026229508",NA,"30","0.272131148","0.16162305","0.029508197",NA,"","","","","positive","no","Figure 2b","figure","exclude_lncvr","group level proportional data","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"53","CD014","EG009","EX012","ES0053","Lichtenstein","2016","Behavioral Ecology and Sociobiology","western black widow","Latrodectus hesperus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (3 prey per week) low (0.33 prey per week)","control_HC4","adult","unknown","aggressive response (novel object)","proportion attacking","novelobject_response","proportion (treatment level)","yes","object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded","27","0.357466468","0.160298592","0.030849478",NA,"30","0.272131148","0.16162305","0.029508197",NA,"","","","","positive","no","Figure 2b","figure","exclude_lncvr","group level proportional data","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"54","CD014","EG009","EX012","ES0054","Lichtenstein","2016","Behavioral Ecology and Sociobiology","western black widow","Latrodectus hesperus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (3 prey per week) low (0.33 prey per week)","control_HC4","adult","unknown","aggressive response (novel object)","proportion attacking","novelobject_response","proportion (treatment level)","yes","object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded","24","0.32661699","0.163725209","0.033420268",NA,"30","0.272131148","0.16162305","0.029508197",NA,"","","","","positive","no","Figure 2b","figure","exclude_lncvr","group level proportional data","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"55","CD014","EG009","EX012","ES0055","Lichtenstein","2016","Behavioral Ecology and Sociobiology","western black widow","Latrodectus hesperus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (3 prey per week) low (0.33 prey per week)","control_HC4","adult","unknown","aggressive response (novel object)","proportion attacking","novelobject_response","proportion (treatment level)","yes","object (piece of paper) introduced to web, time to attack/ proportion attacking the object recorded","24","0.370320417","0.176319455","0.035991058",NA,"30","0.272131148","0.16162305","0.029508197",NA,"","","","","positive","no","Figure 2b","figure","exclude_lncvr","group level proportional data","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"56","CD014","EG009","EX013","ES0056","Lichtenstein","2016","Behavioral Ecology and Sociobiology","western black widow","Latrodectus hesperus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (3 prey per week) low (0.33 prey per week)","no","adult","unknown","predator response","latency to move","predation_response","sec","yes","wind blown on spider (simulated predator attack), time taken to begin moving after 'death feign' response","30","","","",NA,"30","","","",NA,"z","0.605","","0.052","negative","no","Table 1","table","exclude_all","insufficient data available","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"57","CD014","EG010","EX014","ES0057","Lichtenstein","2016","Behavioral Ecology and Sociobiology","communal spider","Anelosimus studiosus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","control_HC3","adult","unknown","aggressive response (novel object)","inverse latency to attack","novelobject_response","sec","yes","object (piece of paper) introduced to web, time to attack the object recorded","14","213.5443038","43.10010408","11.51898734",NA,"26","208.2278481","45.18118556","8.860759494",NA,"","","","","positive","no","Figure 2c","figure","","","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"58","CD014","EG010","EX014","ES0058","Lichtenstein","2016","Behavioral Ecology and Sociobiology","communal spider","Anelosimus studiosus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","control_HC3","adult","unknown","aggressive response (novel object)","inverse latency to attack","novelobject_response","sec","yes","object (piece of paper) introduced to web, time to attack the object recorded","24","221.8049482","40.84362068","8.33716916",NA,"26","208.2278481","45.18118556","8.860759494",NA,"","","","","positive","no","Figure 2c","figure","","","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"59","CD014","EG010","EX014","ES0059","Lichtenstein","2016","Behavioral Ecology and Sociobiology","communal spider","Anelosimus studiosus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","control_HC3","adult","unknown","aggressive response (novel object)","inverse latency to attack","novelobject_response","sec","yes","object (piece of paper) introduced to web, time to attack the object recorded","24","164.1395282","51.05452585","10.42146145",NA,"26","208.2278481","45.18118556","8.860759494",NA,"","","","","positive","no","Figure 2c","figure","","","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"60","CD014","EG010","EX015","ES0060","Lichtenstein","2016","Behavioral Ecology and Sociobiology","communal spider","Anelosimus studiosus","arachnid","wild","lab","female","adult","Mature females'","quantity","restrict",49,3,"control","yes (body condition)","high (2 prey per week) low (0.33 prey per week)","no","adult","unknown","predator response","latency to move","predation_response","sec","yes","wind blown on spider (simulated predator attack), time taken to begin moving after 'death feign' response","14","","","",NA,"26","","","",NA,"z","0.272","","0.775","negative","no","Table 1","table","exclude_all","insufficient data available","Data for agressiveness extracted from all comparisons, only extremes available for boldness"
"61","CD015","EG011","EX016","ES0061","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","day 5 to day 30 post hatch","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","high (ad libitum) low (restricted access approximateing daily energy requirements)","no","adult","570 (mean, range 455 - 762)","novel environment","activity","novelenvironment_activity","percentage (individual)","yes","individuals placed in novel cage with novel feeder, recorded behaviour over a 10hour period on day 1 (termed novel environment), then on day 2 (termed familiar environment)","9","0.08","0.07096","",NA,"10","0.086","0.065532","",NA,"","","","","positive","no","Supplementary Information, Table S1 (for CD110)","table","","","day 1, sd calculated from CV"
"62","CD015","EG011","EX016","ES0062","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","day 5 to day 30 post hatch","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","high (ad libitum) low (restricted access approximateing daily energy requirements)","no","adult","570 (mean, range 455 - 762)","novel environment","activity","novelenvironment_activity","percentage (individual)","yes","individuals placed in novel cage with novel feeder, recorded behaviour over a 10hour period on day 1 (termed novel environment), then on day 2 (termed familiar environment)","9","0.167","0.106045","",NA,"10","0.188","0.1175","",NA,"","","","","positive","no","Supplementary Information, Table S1 (for CD110)","table","","","day 2, sd calculated from CV"
"63","CD015","EG011","EX016","ES0063","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","day 5 to day 30 post hatch","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","high (ad libitum) low (restricted access approximateing daily energy requirements)","no","adult","570 (mean, range 455 - 762)","novel environment","feeding rate","novelenvironment_feeding","percentage (individual)","yes","individuals placed in novel cage with novel feeder, recorded behaviour over a 10hour period on day 1 (termed novel environment), then on day 2 (termed familiar environment)","9","0.035","0.044485","",NA,"10","0.014","0.020202","",NA,"","","","","positive","no","Supplementary Information, Table S1 (for CD110)","table","","","day 1, sd calculated from CV"
"64","CD015","EG011","EX016","ES0064","Careau","2014","Integrative and Comparative Biology","zebra finch","Taeniopygia guttata","bird","lab","lab","female","juvenile","day 5 to day 30 post hatch","quantity","restrict",25,540,"control","yes (metabolic rate, hematocrit, cort, body mass, growth rate)","high (ad libitum) low (restricted access approximateing daily energy requirements)","no","adult","570 (mean, range 455 - 762)","novel environment","feeding rate","novelenvironment_feeding","percentage (individual)","yes","individuals placed in novel cage with novel feeder, recorded behaviour over a 10hour period on day 1 (termed novel environment), then on day 2 (termed familiar environment)","9","0.078","0.04719","",NA,"10","0.052","0.041548","",NA,"","","","","positive","no","Supplementary Information, Table S1 (for CD110)","table","","","day 2, sd calculated from CV"
"67","CD030","EG013","EX018","ES0067","Altwegg","2003","Oikos","emperor dragonfly","Anax imperator","insect","wild","lab","unknown","juvenile","two last instars","starvation","restrict",2,0,"continuous","unknown","satiatied (fed a tadpole 1-2 hours before trials) fed (not fed for at least 48 hours)","no","juvenile","unknown","novel environment","activity","novelenvironment_activity","percentage (individual)","partial","Individuals placed in novel tub with a prey tapole present, activity measured with min. 5 scan samples","16","8.021048257","9.679289388","2.419822347",NA,"19","2.105926965","3.515920357","0.806607449",NA,"","","","","positive","no","Figure 1","figure","","","some reuse of individuals mentioned, but large total n and states that repreated measures for individuals were pooled, so unlikely to have an independence issue"
"68","CD030","EG014","EX019","ES0068","Altwegg","2003","Oikos","southern hawker dragonfly","Aeshna cyanea","insect","wild","lab","unknown","juvenile","final instar","starvation","restrict",2,0,"continuous","unknown","satiatied (fed a tadpole 1-2 hours before trials) fed (not fed for at least 48 hours)","no","juvenile","unknown","novel environment","activity","novelenvironment_activity","percentage (individual)","partial","Individuals placed in novel tub with a prey tapole present, activity measured with min. 5 scan samples","19","25.66308244","15.6232937","3.584229391",NA,"26","4.794618461","7.540329724","1.478780323",NA,"","","","","positive","no","Figure 1","figure","","","some reuse of individuals mentioned, but large total n and states that repreated measures for individuals were pooled, so unlikely to have an independence issue"
"69","CD030","EG015","EX020","ES0069","Altwegg","2003","Oikos","great diving beetle","Dytiscus marginalis","insect","wild","lab","unknown","juvenile","third (final) instar","starvation","restrict",2,0,"continuous","unknown","satiatied (fed a tadpole 1-2 hours before trials) fed (not fed for at least 48 hours)","no","juvenile","unknown","novel environment","activity","novelenvironment_activity","percentage (individual)","partial","Individuals placed in novel tub with a prey tapole present, activity measured with min. 5 scan samples","6","17.83477222","7.244514467","2.957560646",NA,"7","24.82537011","20.2737858","7.662770765",NA,"","","","","positive","no","Figure 1","figure","","","some reuse of individuals mentioned, but large total n and states that repreated measures for individuals were pooled, so unlikely to have an independence issue"
"70","CD031","EG016","EX021","ES0070","Amo","2007","Physiology and Behavior","Iberian rock lizard","Iberolacerta cyreni","reptile","wild","lab","male","adult","study appears to only use adult males for all experiments","quantity","restrict",10,0,"control","yes (body mass, parasite load)","high (2 mealworks per day) low (1 per 2 days)","no","adult","unknown","predator response","latency to emerge","predation_response","sec","no","individual placed in experimental terraria, simulated predator attack (poked with brush) caused them to retreat to refuge, time to re-emerge recorded, then simulated a second attack","10","191.4624506","149.9894542","47.43083004",NA,"10","178.8142292","139.9901573","44.2687747",NA,"","","","","negative","no","Figure 3b","figure","","","first attack response, HC group is the only refuge use treatment, LC is the reduction of food intake"
"71","CD031","EG016","EX021","ES0071","Amo","2007","Physiology and Behavior","Iberian rock lizard","Iberolacerta cyreni","reptile","wild","lab","male","adult","study appears to only use adult males for all experiments","quantity","restrict",10,0,"control","yes (body mass, parasite load)","high (2 mealworks per day) low (1 per 2 days)","no","adult","unknown","predator response","latency to emerge","predation_response","sec","no","individual placed in experimental terraria, simulated predator attack (poked with brush) caused them to retreat to refuge, time to re-emerge recorded, then simulated a second attack","10","121.1067194","94.99332102","30.03952569",NA,"10","196.2055336","189.986642","60.07905138",NA,"","","","","negative","no","Figure 3b","figure","","","second attack response, HC group is the only refuge use treatment, LC is the reduction of food intake"
"84","CD045","EG018","EX023","ES0084","Barber","1995","Journal of Fish Biology","minnow","Phoxinus phoxinus","ray-finned fish","wild","lab","unknown","unknown","test fish=42·4 ± 2·4 mm","starvation","restrict",1,0,"continuous","unknown","satiated (fed on day) 24 hr starved (not fed on test day) 48 hr starved (not fed for 2 days)","control_HC2","unknown","unknown","shoaling","proportion of time near shoal","novelenvironment_shoaling","proportion (individual)","no","individual released in experimental arena, with a captive shoal and a maze with food items. Time spend in contact with shoal and number of prey eaten recorded","median and interquartile range only, no n","","","",NA,"median and interquartile range only, no n","","","",NA,"","","","","negative","no","Figure 4a","figure","exclude_all","insufficient data available",""
"85","CD045","EG018","EX023","ES0085","Barber","1995","Journal of Fish Biology","minnow","Phoxinus phoxinus","ray-finned fish","wild","lab","unknown","unknown","test fish=42·4 ± 2·4 mm","starvation","restrict",2,0,"continuous","unknown","satiated (fed on day) 24 hr starved (not fed on test day) 48 hr starved (not fed for 2 days)","control_HC2","unknown","unknown","shoaling","proportion of time near shoal","novelenvironment_shoaling","proportion (individual)","no","individual released in experimental arena, with a captive shoal and a maze with food items. Time spend in contact with shoal and number of prey eaten recorded","median and interquartile range only, no n","","","",NA,"median and interquartile range only, no n","","","",NA,"","","","","negative","no","Figure 4a","figure","exclude_all","insufficient data available",""
"86","CD045","EG018","EX023","ES0086","Barber","1995","Journal of Fish Biology","minnow","Phoxinus phoxinus","ray-finned fish","wild","lab","unknown","unknown","test fish=42·4 ± 2·4 mm","starvation","restrict",1,0,"continuous","unknown","satiated (fed on day) 24 hr starved (not fed on test day) 48 hr starved (not fed for 2 days)","control_HC2","unknown","unknown","shoaling","proportion of time out of visual range of shoal","novelenvironment_shoaling","proportion (individual)","no","individual released in experimental arena, with a captive shoal and a maze with food items. Time spend in contact with shoal and number of prey eaten recorded","median and interquartile range only, no n","","","",NA,"median and interquartile range only, no n","","","",NA,"","","","","positive","no","Figure 5a","figure","exclude_all","insufficient data available",""
"87","CD045","EG018","EX023","ES0087","Barber","1995","Journal of Fish Biology","minnow","Phoxinus phoxinus","ray-finned fish","wild","lab","unknown","unknown","test fish=42·4 ± 2·4 mm","starvation","restrict",2,0,"continuous","unknown","satiated (fed on day) 24 hr starved (not fed on test day) 48 hr starved (not fed for 2 days)","control_HC2","unknown","unknown","shoaling","proportion of time out of visual range of shoal","novelenvironment_shoaling","proportion (individual)","no","individual released in experimental arena, with a captive shoal and a maze with food items. Time spend in contact with shoal and number of prey eaten recorded","median and interquartile range only, no n","","","",NA,"median and interquartile range only, no n","","","",NA,"","","","","positive","no","Figure 5a","figure","exclude_all","insufficient data available",""
